flight_number,call_sign,status,airline_name,airline_iata,airline_icao,aircraft_reg,aircraft_model,departure_airport_name,departure_airport_iata,departure_airport_icao,departure_timezone,departure_datetime,departure_datetime_revised,arrival_airport_name,arrival_airport_iata,arrival_airport_icao,arrival_timezone,arrival_datetime,arrival_datetime_revised
FR 7931,RYR8GG,Arrived,Ryanair,FR,RYR,SP-RZO,Boeing 737 MAX 8,Pisa,PSA,LIRP,Europe/Rome,2025-05-04 06:10:00,2025-05-04 06:26:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 08:05:00,2025-05-05 07:50:00
D8 2632,NSZ2632,Arrived,Norwegian Air Sweden,D8,NSZ,SE-RTB,Boeing 737,Stockholm,ARN,ESSA,Europe/Stockholm,2025-05-04 07:00:00,2025-05-04 06:50:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 08:50:00,2025-05-05 08:36:00
FR 7280,RYR728N,Arrived,Ryanair,FR,RYR,SP-RNK,Boeing 737-800,Zadar,ZAD,LDZD,Europe/Zagreb,2025-05-04 07:30:00,,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 09:05:00,2025-05-05 08:48:00
W6 2071,WZZ5CN,Departed,Wizz Air,W6,WZZ,9H-WNN,Airbus A320,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-05 03:30:00,2025-05-05 03:30:00,Nice,NCE,LFMN,Europe/Paris,2025-05-05 05:50:00,
W6 2047,WZZ3081,Departed,Wizz Air,W6,WZZ,9H-WDX,Airbus A320,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-05 03:30:00,2025-05-05 03:30:00,Barcelona,BCN,LEBL,Europe/Madrid,2025-05-05 06:20:00,2025-05-05 06:08:00
LO 3910,LOT3910,Departed,LOT - Polish,LO,LOT,SP-LEB,Embraer 195,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-05 03:40:00,2025-05-05 03:40:00,Warsaw,WAW,EPWA,Europe/Warsaw,2025-05-05 04:30:00,2025-05-05 04:25:00
FR 3036,RYR11SX,Departed,Ryanair,FR,RYR,SP-RZB,Boeing 737 MAX 8,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-05 03:55:00,2025-05-05 03:55:00,Barcelona,BCN,LEBL,Europe/Madrid,2025-05-05 06:45:00,2025-05-05 06:42:00
FR 2435,RYR49FR,Departed,Ryanair,FR,RYR,SP-RSH,Boeing 737-800,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-05 04:00:00,2025-05-05 04:00:00,London,STN,EGSS,Europe/London,2025-05-05 06:25:00,2025-05-05 06:04:00
W6 2001,WZZ1GP,Departed,Wizz Air,W6,WZZ,9H-WNJ,Airbus A321 NEO,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-05 04:00:00,2025-05-05 04:00:00,London,LTN,EGGW,Europe/London,2025-05-05 06:35:00,2025-05-05 06:35:00
LH 1627,DLH1YY,Departed,Lufthansa,LH,DLH,D-AISI,Airbus A321,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-05 04:00:00,2025-05-05 04:00:00,Munich,MUC,EDDM,Europe/Berlin,2025-05-05 05:20:00,2025-05-05 05:15:00
LH 1371,DLH7VT,Departed,Lufthansa,LH,DLH,D-AIRA,Airbus A321,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-05 04:10:00,2025-05-05 04:10:00,Frankfurt-am-Main,FRA,EDDF,Europe/Berlin,2025-05-05 05:50:00,2025-05-05 05:50:00
FR 6216,RYR2FJ,Departed,Ryanair,FR,RYR,SP-RZK,Boeing 737,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-05 04:15:00,2025-05-05 04:15:00,Torp,TRF,ENTO,Europe/Oslo,2025-05-05 06:20:00,
